Timestamp;Judge;Session;Team;Category;Total_Score;1. Business Description_Score;2. Customer Discovery_Score;3. Product/Technology Validation_Score;4. Go-To-Market Tactics / Sales Model_Score;5. Finances and Funding_Score;6. Legal_Score;7. Team_Score;8. Sustainability_Score;9. Presentation_Score;1. Business Description_Feedback;2. Customer Discovery_Feedback;3. Product/Technology Validation_Feedback;4. Go-To-Market Tactics / Sales Model_Feedback;5. Finances and Funding_Feedback;6. Legal_Feedback;7. Team_Feedback;8. Sustainability_Feedback;9. Presentation_Feedback
24-12-2025 07:09;Mehmet Berktay Akyüz;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ertech-Çıbık;Presentation Scoring;22;3;2;3;2;2;3;1;3;3;They provide general information regarding their product;For now they have not started selling their product. Yet they have PoC agreements with well known primary / high schools ;They claim to have a working prototype;Currently they focus on selling the product by themselves mostly to the schools. They should have a channel partner to suceed in that aim.;Funding of this project will become hard in the future. They should be able to identify potential financing institutions to have a relevant level of working capital.;ok;The team seems to lack of corporate expertise. This may have a negative impact at the scaling process of the firm.;ok;ok
24-12-2025 07:17;Sevgi deniz Akdemir;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ertech-Çıbık;Presentation Scoring;29;3;3;4;3;3;3;3;4;3;Ogrenci projesi;Pazar ihtiyaci dogrulanmis;Teknoloji prototip asamasinda;Daha detayli pazar stratejisi calisilmali;Finansal ongoru ihtiyaci var;Ok;Takim uyumlu;Sürdürülebilirlik odaklı;Basarili
24-12-2025 07:22;Alper Serdar ANLI;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ertech-Çıbık;Presentation Scoring;30;4;4;3;3;3;4;3;3;3;Good business case;Well-defined pain point;Tech validated;Go-to-market is clear;Finance projections OK;Legal is defensible;Team is connections;Impact is visible;Clear presentation
24-12-2025 07:24;Özkan Özkara;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ertech-Çıbık;Presentation Scoring;28;3;3;3;3;3;3;4;3;3;Geliştirilebilir;Hedef kitle belirlenmiş;Prototip çalışıyor;Strateji iyi;Gelir modeli netleşmeli;Sorun yok;Yetkin takım;Çevresel etki var;Akıcı
24-12-2025 07:42;Tuğçe Öztürk;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ertech-Çıbık;Presentation Scoring;27;3;3;3;3;3;3;3;3;3;;;;;;;;;
24-12-2025 08:31;Özkan Özkara;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;FURKHASA R&D;Presentation Scoring;33;3;3;4;4;4;4;4;3;4;Professional pitch;Significant market need;Strong technical validation;Excellent partnerships;Realistic roadmap;No IP issues;Complete team;High impact;Fluent presentation
24-12-2025 08:33;Alper Serdar ANLI;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;FURKHASA R&D;Presentation Scoring;33;4;4;4;3;3;4;4;3;4;;;;;;;;;
24-12-2025 08:35;Mehmet Berktay Akyüz;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;FURKHASA R&D;Presentation Scoring;34;4;4;3;4;3;4;4;4;4;;;;;;;;;
24-12-2025 08:42;Sevgi deniz Akdemir;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;FURKHASA R&D;Presentation Scoring;31;3;3;3;3;4;4;4;3;4;;;;;;;;;
24-12-2025 09:12;Tuğçe Öztürk;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Robeff Teknoloji;Presentation Scoring;33;4;4;4;3;3;4;4;3;4;;;;;;;;;
24-12-2025 09:15;Alper Serdar ANLI;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Robeff Teknoloji;Presentation Scoring;34;4;4;4;4;3;4;4;3;4;;;;;;;;;
24-12-2025 09:18;Mehmet Berktay Akyüz;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Robeff Teknoloji;Presentation Scoring;32;4;3;4;3;3;4;4;3;4;;;;;;;;;
24-12-2025 09:25;Özkan Özkara;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Robeff Teknoloji;Presentation Scoring;33;4;4;3;3;3;4;4;4;4;;;;;;;;;
24-12-2025 09:35;Sevgi deniz Akdemir;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ardas Tech;Presentation Scoring;19;2;2;2;2;2;2;2;3;2;;;;;;;;;
24-12-2025 09:38;Alper Serdar ANLI;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ardas Tech;Presentation Scoring;22;2;3;2;2;2;2;3;3;3;;;;;;;;;
24-12-2025 09:42;Tuğçe Öztürk;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ardas Tech;Presentation Scoring;20;2;2;2;2;2;2;2;3;3;;;;;;;;;
24-12-2025 09:44;Mehmet Berktay Akyüz;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ardas Tech;Presentation Scoring;24;3;3;2;3;2;3;2;3;3;The product aims to reduce costs;Business model is not clarified;They claim they will be subiect to legal considerations;Academic team;Product has potential to reduce water consumption;Preparation needed;;;
24-12-2025 09:45;Özkan Özkara;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Ardas Tech;Presentation Scoring;23;3;2;3;2;2;2;3;3;3;;;;;;;;;
24-12-2025 10:05;Sevgi Deniz akdemir;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Lentify;Presentation Scoring;24;3;3;2;3;3;3;3;1;3;;;;;;;;;
24-12-2025 10:06;Özkan Özkara;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Lentify;Presentation Scoring;25;3;2;3;2;3;2;3;3;4;Infrastructure needs improvement;No sector relationship;Importance of vertical agriculture;No tactics;;;;;
24-12-2025 10:11;Alper Serdar ANLI;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Lentify;Presentation Scoring;32;4;4;3;3;3;3;5;3;4;;;;;;;;;
24-12-2025 10:12;Tuğçe Öztürk;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Lentify;Presentation Scoring;25;3;3;3;3;3;3;3;1;3;;;;;;;;;
24-12-2025 10:15;Mehmet Berktay Akyüz;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu;Lentify;Presentation Scoring;27;3;3;3;3;3;3;3;3;3;;;;;;;;;
,Timestamp,Judge,Session,Team,Category,Total_Score,1. Business Description_Score,2. Customer Discovery_Score,3. Product/Technology Validation_Score,4. Go-To-Market Tactics / Sales Model_Score,5. Finances and Funding_Score,6. Legal_Score,7. Team_Score,8. Sustainability_Score,9. Presentation_Score,1. Business Description_Feedback,2. Customer Discovery_Feedback,3. Product/Technology Validation_Feedback,4. Go-To-Market Tactics / Sales Model_Feedback,5. Finances and Funding_Feedback,6. Legal_Feedback,7. Team_Feedback,8. Sustainability_Feedback,9. Presentation_Feedback
0,22-12-2025 07:28,Alper SASMAZ,1. İleri Malzemeler ve Kimyasallar Oturumu,Bio4Life,Presentation Scoring,40,5,4,4,4,3,5,5,5,5,,,,,,,,,
1,22-12-2025 07:31,Selim L. Sanin,1. İleri Malzemeler ve Kimyasallar Oturumu,Bio4Life,Presentation Scoring,27,2,3,3,3,2,4,3,3,4,,,,,,,,,"Tekstil sektörünün değişeceğini (hedefler, renk tanımlamaları vb. )de dikkate almanız çok yerinde olur. "
2,22-12-2025 07:32,Kıvılcım Çaylı,1. İleri Malzemeler ve Kimyasallar Oturumu,Bio4Life,Presentation Scoring,31,4,5,4,4,3,3,4,1,3,"b2b oturmuş, endüstri ölçeklendiğinde rekabet kolay olmayabilir","ilk satış yapılmış, kimlere gidileceği belli.",,,"Değerlemesi yüksek, maliyetler iş ölçeklendiğinde sürdürülebilir olmayabilir.",,,,biraz yavaşlaması gerekir
3,22-12-2025 07:35,Yunus Duruk,1. İleri Malzemeler ve Kimyasallar Oturumu,Bio4Life,Presentation Scoring,39,5,5,5,5,4,4,5,1,5,,,,,,,,,
4,22-12-2025 07:36,Nursev Erdogan,1. İleri Malzemeler ve Kimyasallar Oturumu,Bio4Life,Presentation Scoring,39,4,4,4,5,4,5,5,3,5,Fonksiyonel aktivitelerini uygulamaya dönük sektörler için iyi tanımlamaktadırlar. Süeç içerisinde bu sektörlerdeki tecrübe seviyelerinin artışıyla daha iyi olacağını düşünüyorum.,Ürün özelliklerindeki iyileşmeler ve bir kaç müşteri ile çalışmanın ardından daha geniş bir skalada müşteriye ulaşacaklarını değerlendiriyorum.,Bir sektörde TRL 3 ve diğerinde TRL 5 aşamasında validasyonlar yapılmıştır. Rekabet avantajları belirlenmiştir. Yol haritasında bazı eksiklikler gözlenmiştir. Ancak bu eksiklikler süreçle tamamlanacağından dezavantaj olmamaktadır. Değerleme bir miktar yüksek bulunmuştur.,Markete giriş taktikleri belirlenmiştir. Uygun görünmektedir.,Finans arayışları devam etmektedir. Desteklere başvurular yapılmıştır. Olumsuz olma durumu için B planı duyulmamıştır.,Patent başvurusu yapılmıştır.,Takım yeterlidir.,Yüksek pozitif etki olarak değerlendirilmiştir.,Sunum oldukça iyidir.
5,22-12-2025 08:20,Alper SASMAZ,1. İleri Malzemeler ve Kimyasallar Oturumu,EKOHARMONI BIOCYCLING,Presentation Scoring,26,3,2,4,4,2,2,2,3,4,,,,,,,,,
6,22-12-2025 08:21,Nursev Erdogan,1. İleri Malzemeler ve Kimyasallar Oturumu,EKOHARMONI BIOCYCLING,Presentation Scoring,29,4,2,3,3,4,5,4,1,3,Evet biliyorlar ancak süreci açıklamak üzere anlatım biraz karmaşık olup sadeleştirilebilir. ,Bu alanda yeterli sayıda müşteri bağlantısı kurulduğunu düşünmüyorum. Bunun için özellikle kurumsal yapılar ile görüşmelere odaklanmak gerekir. ,Bir proje gerçekleştirilmiştir. Rekabet avantajları bulunmaktadır.  Yol haritası vardır fakat müşteriler tam net anlaşılamamaktadır. Bu nedenle kar seviyesi net olmamaktadır.,Markete giriş stratejileri belirlenmiştir. Ancak müşteriler ile ilgili kısmın henüz netleşmediği değerlendirilmektedir. Devlet ile yapılacak anlaşmalara odaklanılabilir.,Finans edinmek için yeterli planlama yapılmıştır. Müşteriler ile iyi niyet anlaşmaları yapılması sürecin daha sağlıklı ilerlemesini sağlayabilir.,Satış kalemleri çeşitlidir. Her yöntemin de özgün olduğu belirtilmektedir. Chitosan prosesi özellikle korunmalıdır.,Takım öğretim üyelerinden ve öğrencilerden oluşmaktadır. İşletme ve yönetim alanlarında destek alınabilir. ,,Sunumdaki yöntemin daha anlaşılır olarak gösterilmesi ve anahtar kelimelerin yansılarda ve konuşmada vurgulanması gerekir. 
7,22-12-2025 08:22,Kıvılcım Çaylı,1. İleri Malzemeler ve Kimyasallar Oturumu,EKOHARMONI BIOCYCLING,Presentation Scoring,23,2,2,3,3,2,3,2,1,5,"iş modeli tam oturmamış, poc ve pom eksik",müşteri bazı eksik,,"bazı çabalar var, poc ve pom oturursa daha iyi olabilir","finans konusunda gidilecek çok yol var, ciro ve sonraki tur yatırım hedefleri gerçekçi değil",daha iyi araştırılabilir,"takım tamamen teknik, proje ekibi gibi. business tarafı da düşünülmeli",,sunum tarafında bir sıkıntı yok
8,22-12-2025 08:28,Selim L. Sanin,1. İleri Malzemeler ve Kimyasallar Oturumu,EKOHARMONI BIOCYCLING,Presentation Scoring,27,3,2,2,2,3,4,4,3,4,Ürün olarak piyasaya sürülmesi vakit alabilir. Kontrol süreçlerine önem verilmeli ve  iş planında vurgu yapılmalı,Bu ürün pazarlaması vakit alacak. Piyasanın ilgisini çekmek gerekiyor. ,"Kavram çok yerinde, güvenilir akım şemasının oluşturmasına ihtiyaç var. ",Pazarlama planı geliştirmesi şart,Süre ve hedeflenen finans düreci daha gerçekçi ele alınmalı. Sektör için ikna edici değil. ,Sürdürülebilir süreçler için gerekli olan değişim mantığı ve bakış açısı kesinlikle var. Daha ve hızlı çaşılma gerekiyor. ,Finans ve iş modellemesi uzmanı katkı sağlar,,Çok genel kalıyor. 
9,22-12-2025 08:28,Yunus Duruk,1. İleri Malzemeler ve Kimyasallar Oturumu,EKOHARMONI BIOCYCLING,Presentation Scoring,37,5,3,5,4,5,5,4,1,5,,,,,,,,,
10,22-12-2025 08:57,Alper SASMAZ,1. İleri Malzemeler ve Kimyasallar Oturumu,MicroExTech,Presentation Scoring,30,3,2,3,3,3,4,4,3,5,,,,,,,,,
11,22-12-2025 09:03,Kıvılcım Çaylı,1. İleri Malzemeler ve Kimyasallar Oturumu,MicroExTech,Presentation Scoring,26,3,3,4,3,2,3,3,1,4,"iş modeli üzerinde çalışılması gerekir, poc var pom yok",segmentlerin somutlaştırılması gerekir,"prosesin daha rafine edilmesi mümkün, ama gemiş bir pazar",müşteri temasının arttırılması gerekir,"maliyetlere biraz çalışılmış, gelire çalışılmamış. gelir modeli daha iyi çalışılmalı",bir sorun görünmüyor,temel düzeyde işbriliği yapılmış ama hala çok teknik,çevresel etkisi var ama global etki yaratmaz,"çok sıkıntı yok, daha çok prova gerekir"
12,22-12-2025 09:04,Yunus Duruk,1. İleri Malzemeler ve Kimyasallar Oturumu,MicroExTech,Presentation Scoring,37,5,4,5,4,4,5,4,1,5,,,,,,,,,
