Team;Total_Score;Session
Beaver-Nexus;39.2;2. Atık Zenginleştirme Oturumu
Umayana;38.2;1. İleri Malzemeler ve Kimyasallar Oturumu
HELIOS BİLİM VE TEKNOLOJİ;36.4;1. İleri Malzemeler ve Kimyasallar Oturumu
Bio4Life;35.2;1. İleri Malzemeler ve Kimyasallar Oturumu
Vegg Foods;35.0;2. Atık Zenginleştirme Oturumu
Strategic Innovative Initiatives;33.75;4. Yenilenebilir Enerji+Enerji verimliliği Oturumu
ATAK İleri Malzeme;33.4;2. Atık Zenginleştirme Oturumu
Evran Teknoloji;33.4;2. Atık Zenginleştirme Oturumu
Robeff Teknoloji;33.0;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu
COLORTECH ARGE;33.0;2. Atık Zenginleştirme Oturumu
FURKHASA R&D;32.75;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu
Ion Membranes;31.75;4. Yenilenebilir Enerji+Enerji verimliliği Oturumu
CHERRYMIC BİYOTEKNOLOJİ;31.6;2. Atık Zenginleştirme Oturumu
INOPOLYME KİMYA;31.2;1. İleri Malzemeler ve Kimyasallar Oturumu
ComfyAtelier;30.5;4. Yenilenebilir Enerji+Enerji verimliliği Oturumu
MicroExTech;30.2;1. İleri Malzemeler ve Kimyasallar Oturumu
Chitolastic;30.0;1. İleri Malzemeler ve Kimyasallar Oturumu
Unda Mühendislik;29.5;4. Yenilenebilir Enerji+Enerji verimliliği Oturumu
EKOHARMONI BIOCYCLING;28.4;1. İleri Malzemeler ve Kimyasallar Oturumu
Bionova;28.0;2. Atık Zenginleştirme Oturumu
Ertech-Çıbık;27.25;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu
MTM Biyoteknoloji;27.0;4. Yenilenebilir Enerji+Enerji verimliliği Oturumu
Lentify;26.5;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu
Solis Technology;26.0;4. Yenilenebilir Enerji+Enerji verimliliği Oturumu
Suje ARGE;25.4;2. Atık Zenginleştirme Oturumu
Ardas Tech;21.6;3. Yeşil Binalar+Ulaşım+Su Verimliliği Oturumu
